song,artist,comment
cool kids,echosmith,cool kids is the debut single song by american indie pop band echosmith from their 2013 debut studio album talking dreams the song was written by echosmith jeffery david and jesiah dzwonek it was produced by mike elizondo with additional production on the radio edit by rob cavallo cool kids was originally released on may 31 2013 as the itunes store single of the week and officially impacted united states radio the following year the song subsequently became a sleeper hit peaking at number 13 on the billboard hot 100 and receiving airplay on us modern rock hot adult contemporary and contemporary hit radio stations the song is a playable track in guitar hero live
hey brother,avicii,"hey brother is a dance song by swedish dj and record producer avicii from his debut studio album true 2013 american bluegrass singer dan tyminski provides vocals for the track it was written by avicii ash pournouri salem al fakir vincent pontare and veronica maggio hey brother sees avicii giving his brother advice
the song which serves as the albums third single was solicited to australian radio on 9 october 2013 and later released on 28 october 2013 in germany switzerland and austria in march 2014 a version of the track remixed by avicii himself was released on his remix album true avicii by avicii this time featuring new vocals from singer salem al fakir the song is written in the key of g minor at a tempo of 125 bpm"
trumpets,jason derulo,"trumpets is a song by recording artist jason derulo released as the fourth single in australia new zealand and the european market and third single in the uk from his third studio album tattoos 2013 the song was written by derulo under his real name jason desrouleaux and jon bellion who also handled the production
although the song wasnt released as a single in the united states at the time it was included on the us version of the album talk dirty 2014 trumpets was released in the us as the fifth single from talk dirty and has since peaked at number 14 on the us billboard hot 100 it was sent to us pop and rhythmic radio on august 19 2014"
animals,maroon 5,"animals is a song by american pop rock band maroon 5 it was released on august 25 2014 as the second official single from the bands fifth studio album v 2014 it was written by adam levine benny blanco and shellback the latter is also the producer the official remix features j cole and another remix features big boi both written and produced by freaky ta dcbc and aftermath artist me3mo sameem nadeem
the lyric video for the song was released on august 22 2014 on vevo the song peaked at number three on the us billboard hot 100 giving maroon 5 their tenth top 10 single in the us"
burnin it down,jason aldean,burnin it down is a song written by rodney clawson chris tompkins and florida georgia line members tyler hubbard and brian kelley and recorded by american country music artist jason aldean it was released in july 2014 as the lead single from his sixth studio album old boots new dirt it won the top country song category at the 2015 billboard music awards but received generally negative reviews from critics
play it again,luke bryan,play it again is a song written by dallas davidson and ashley gorley and recorded by american country music artist luke bryan it was released on march 24 2014 as the fourth single from his fourth studio album crash my party on april 17 2014 play it again became bryans eighth nonconsecutive charttopper on the hot country songs chart the most by any act in the time since his first number one rain is a good thing hit the top spot on july 24 2010
2 on,tinashe featuring schoolboy q,"2 on is a song by american singersongwriter tinashe for her debut studio album aquarius 2014 the song which features a rap verse from american rapper schoolboy q was written by tinashe schoolboy q bobby brackins dj mustard jon redwine and marley waters it features an interpolation of the 2005 single we be burnin by jamaican recording artist sean paul resulting in writing credits for cezar cunningham sean paul steven marsden delano thomas michael jarrett and craig serani marsh 2 on was released as tinashes commercial debut single from aquarius on january 21 2014 and was sent to us rhythmic contemporary and urban contemporary radio on march 18 2014
2 on is an electrorb song that contains elements of trap production lyrically the song is a party song about living life to the fullest music critics mostly praised the song for its sound and carefree lyrics and 2 on was also noted by critics as a departure from tinashes murky alternative rb that was part of her previous songs the single peaked at number 24 on the us billboard hot 100 and was certified platinum by the riaa the song also appeared on several commercial charts around the world including australia and belgium
the accompanying music video for the track was directed by hannah lux davis and was released on march 24 2014 with tinashe dancing in several different scenes to further promote the song tinashe made various live performances including the sxsw festival the power 106 la concert capital xtra rinse fm v1007milwaukees family affair and the wendy williams show canadian rapper drake released an unofficial rework of the song to his soundcloud account the song consisted of two parts the new version of 2 on and thotful an official spanish remix featuring reggaeton singer randy was released on november 18 2014 and later included on his mixtape under doxis"
dirt,florida georgia line,dirt is a song recorded by american country music duo florida georgia line it is the first single from their second studio album anything goes which was released on october 14 2014
love runs out,onerepublic,love runs out is a song recorded by american pop rock band onerepublic for the 2014 reissue of their third studio album native 2013 it was produced by ryan tedder who cowrote the song with brent kutzle drew brown zach filkins and eddie fisher the song was digitally released in australia on april 14 2014 and was serviced to contemporary hit radio in the united states on may 6 as the fifth overall single from the album
bottoms up,brantley gilbert,bottoms up is a song recorded by american country rock artist brantley gilbert it is the first single from his third studio album just as i am and was released on december 16 2013 the song was written by gilbert justin weaver and brett james a remix featuring atlantabased rapper ti was included on the reissue of just as i am
shower,becky g,shower is a song by american singer becky g from her upcoming english studio album it was released on april 23 2014 by kemosabe records and rca records as the lead single from the record the song was written by gomez dr luke cirkut and rock city and it was produced by dr luke and cirkut it is gs only top 20 hit in the united states to date the official remix features american rapper tyga
me and my broken heart,rixton,me and my broken heart is a song performed by english pop band rixton it was written by benny blanco ammar malik steve mac wayne hector and rob thomas and produced by blanco and mac the song was first released on 14 march 2014 as the lead single from rixtons debut studio album let the road 2015
animals,martin garrix,animals is a song by dutch dj and record producer martin garrix released as a digital download on 17 june 2013 on itunes the song quickly became popular within the edm culture leading to garrix becoming the youngest producer to ever have a song reach number one on the electronic music store beatport the track was a commercial success reaching the top ten or topping on a number of electronic music charts topping singles charts in the united kingdom frenchspeaking switzerland and belgium and reached number 21 on the united states billboard hot 100
lifestyle,rich gang featuring young thug and rich homie quan,lifestyle is a song by american hip hop group rich gang featuring rappers young thug and rich homie quan the song produced by london on da track was released on june 5 2014 the song has been certified platinum in the united states
american kids,kenny chesney,american kids is a song written by rodney clawson luke laird and shane mcanally and recorded by american country music artist kenny chesney it was released to on june 20 2014 as the lead single from his 2014 album the big revival after its official release the song became available for sale on june 21 that year
brave,sara bareilles,"brave is a song by american singersongwriter sara bareilles taken from her fourth studio album the blessed unrest 2013 the song was written by bareilles and jack antonoff from the band fun as the singer was inspired from the struggles that a close friend dealt with in regard to coming out as gay bareilles requested mark endert to produce it with the explicit goal of radio airplay brave was released worldwide through digital download on april 23 2013 as the lead single from the album through epic records
brave received positive reviews from music critics with one writing that bareilles channels singers like fiona apple and florence welch some critics also compared pop singer katy perrys single roar to the song brave became bareilles third top 40 hit in the united states peaking at 23 while reaching the top 3 in australia 3 her highest charting single in the country to date and also reaching the top five in new zealand 4 26 in south korea 58 in canada and 88 in japan the song was covered by lea michele and naya rivera on the 97th episode of the musical series glee which aired on february 25 2014 it was featured in a commercial for the nokia lumia 1020 and has continued to be used in adverts for lumia devices
the accompanying music video was directed by actress rashida jones and features bareilles singing intertwined with clips of people dancing in various public places such as a shopping mall a gym a library and a bus stop the singer also performed brave during several live appearances including at the today show and at the voice this song was also nominated for best pop solo performance at the 56th annual grammy awards despite its international success in the united kingdom brave was released in march 2014 nearly a year after it was first exposed"
sweater weather,the neighbourhood,sweater weather is a song by american alternative pop band the neighbourhood the song was written by group members jesse rutherford zach abels and jeremy freedman and was produced by justyn pilbrow it serves as the lead single from their debut studio album i love you 2013 sweater weather reached number one on the billboard alternative songs chart in june 2013 logging eleven nonconsecutive weeks at the summit of the chart
leave the night on,sam hunt,leave the night on is a song cowritten and recorded by american singer sam hunt it was released to country radio by mca nashville on june 16 2014 as the lead single from his debut studio album montevallo 2014 the song was written by hunt shane mcanally and josh osborne
new flame,chris brown featuring usher and rick ross,new flame is a song recorded by american chris brown it was originally released as a promotional single from browns album on march 5 2014 this version only featured american rapper rick ross as a guest artist a few months later a day after the 2014 bet awards were held the single version of the song featuring ross and american rb singer usher was released on june 30 2014 as the fifth official single from his sixth studio album x the song peaked at number 27 on the us billboard hot 100 and number 10 in the united kingdom this song is also known for being the final song to ever feature writing singing and production credits of recording artist kenn rorery who died in a tragic car accident in february of that same year just before the songs official release at the age of only 21 brown performed a small live tribute at the 2014 soul train awards in honor of rorery
love never felt so good,michael jackson and justin timberlake,"love never felt so good is a song by american singer and songwriter michael jackson released posthumously on may 2 2014 the song reworked from a 1983 demo track originally composed by jackson and canadian singersongwriter paul anka was the first single released from jacksons second posthumous album xscape two versions of the single were developed the first was a solo version produced by american record producer john mcclain and dutch record producer giorgio tuinfort the second version was a duet featuring american singer justin timberlake produced by american record producers timbaland and jroc which received positive reviews from music critics its accompanying music video premiered on may 14 2014 on the ellen degeneres show in the video timberlake appears with a crowd of young dancers who reference jacksons most known dance moves interspersed with archival footage of the pop singers many short films the song is the second collaboration between jackson and anka to be released since jacksons death in 2009 — the first being this is it
the duet version of love never felt so good charted within the top ten in eighteen national charts reaching the top spot in five countries michael jackson became the first artist in history to have a top 10 single on the us billboard hot 100 in five different decades when love never felt so good reached number 9 on may 31 2014 six decades if his jackson 5 tenure is included it spent eight weeks on top of the us adult rb songs the song also charted at number 8 on the uk singles chart"
drunk on a plane,dierks bentley,drunk on a plane is a song cowritten and recorded by american country music artist dierks bentley it was released in april 2014 as the third single from his seventh studio album riser the song has been certified platinum by the riaa the song was written by bentley josh kear and chris tompkins
birthday,katy perry,"birthday is a disco song recorded by american singer katy perry for her fourth studio album prism 2013 she cowrote the song with bonnie mckee and its producers dr luke max martin and cirkut critics as well as perry herself have compared the track to the music of prince and mariah carey through double entendres in the lyrics of birthday perry makes sexual references while celebrating a partners birthday capitol records sent the track to mainstream and rhythmic radio on april 21 2014 as the albums fourth single
following the release of prism birthday entered the single charts of south korea and france after being released as an official single it reached the top 30 in australia uk and netherlands number 17 on the us billboard hot 100 and number 7 on the canadian hot 100 a music video for the track was released on april 24 2014 primarily recorded with hidden cameras it features perry disguised as five different characters in birthday parties and other celebrations the makeup effects disguises for perry were designed and created by tony gardner jess glynne covered the song on bbc radio 1s live lounge and halsey on siriusxm"
bartender,lady antebellum,bartender is a song written and recorded by american country music trio lady antebellum written by group members dave haywood charles kelley and hillary scott along with rodney clawson and coproduced with nathan chapman the song was released to country radio by capitol nashville on may 12 2014 as the lead single from the groups sixth studio album 747 it was released to itunes the following week on may 19 2014 in its first week at radio bartender was the second mostadded song of the week with 72 behind small town throwdown by brantley gilbert featuring justin moore and thomas rhett
la la la,naughty boy featuring sam smith,"la la la is a song released by british record producer naughty boy featuring vocals from sam smith it was released on 18 may 2013 as the second single from naughty boys debut album hotel cabana 2013 and it appears on the deluxe version of smiths debut album in the lonely hour 2014 the track reached number one on the music charts for 26 countries including the uk singles chart upon its release it was confirmed by the official charts company as the fastestselling single of 2013 in the uk by the end of 2013 the song was the sixth fastestselling single of the year in the uk selling 145000 copies in the first week
the song is used as the theme song for the film the internship"
blurred lines,robin thicke featuring ti and pharrell,"blurred lines is a single written and performed by american recording artists robin thicke ti and pharrell williams produced by pharrell it serves as the lead single from thickes album of the same name it was released on march 26 2013 through pharrells label star trak recordings recorded in 2012 the songs percussion ideas were primarily inspired by the marvin gaye song got to give it up and apart from tis rap was entirely the work of williams however thicke clearly laid claim to writing credits on the track according to a reuters article the song became the subject of a bitter legal dispute with the family of gaye and bridgeport music as to whether the song infringed copyrights to got to give it up thicke and williams were found liable for copyright infringement by a federal jury in march 2015 and gaye was awarded posthumous songwriting credit based on the royalties pledged to his estate
the songs music video was released in two versions with one featuring models emily ratajkowski jessi mbengue and elle evans being topless while the other censored nudity the uncut version of the video was at one time removed from youtube for violating the sites terms of service regarding nudity it was later restored but with an age restriction the songs lyrics and music video have proven controversial with some groups with claims that it is misogynistic and promotes date rape this has led to the song being banned at universities and other institutions in the united kingdom and prompted a rebuttal from thicke
blurred lines peaked at number one in at least 25 countries and becoming the number one song of 2013 in several of them it became thickes first tis fourth and pharrells third numberone single in the us where it was also the longest running number one single of 2013 the song subsequently became one of the bestselling singles of all time with sales of 148 million simultaneously breaking the record for the largest radio audience in history the single was nominated for two grammys at the 56th annual grammy awards including record of the year and best pop duogroup performance the song has been parodied and covered numerous times"
do what u want,lady gaga featuring r kelly,"do what u want is a song by american singer lady gaga featuring guest vocals from r kelly the song was released on october 21 2013 as the second single from gagas third studio album artpop 2013 the singers wrote the song with dj white shadow martin bresso and william grigahcine dj white shadow first presented gaga with the songs initial concept two years prior to its release the songs production was completed in 2013 with kellys vocals added soon after warm reception from fans and music critics led to its release as the albums second single
it is a synthpop and rb song featuring 1980sstyle synthesizers and an electronic instrumental track the songs lyrics represent themes of sexual submission with gaga telling detractors that her thoughts dreams and feelings are her own no matter what one does with her body critics praised the songs simplicity production and commercial appeal the single cover for do what u want a closeup of gagas buttocks in a floral thong was photographed by terry richardson who had also directed the songs music video which was planned to be released through bittorrent in december 2013 the release was cancelled due to unknown circumstances
do what u want reached number one in hungary while peaking within the top 10 in austria canada denmark france ireland italy lebanon norway scotland south korea spain and the united kingdom as well as the top 20 in belgium the czech republic germany new zealand sweden switzerland and the united states live performances of the song were televised on the 2013 american music awards alan carr chatty man saturday night live americas the voice and britains the x factor several remixes of the song were released including ones with vocals from christina aguilera and rick ross"
cant remember to forget you,shakira featuring rihanna,"cant remember to forget you is a song recorded by colombian singersongwriter shakira from her fourth english and overall tenth studio album shakira featuring barbadian singer rihanna shakira began planning to new music in 2011 work continued into 2012 at which time she left her previous label epic records and joined rca records the song was released as the lead single of the album on 13 january 2014 through rca records and sony latin iberia a solo spanishlanguage version of the song entitled nunca me acuerdo de olvidarte was released on 24 january 2014
the song was cowritten by shakira rihanna john hill tom kid harpoon hull daniel alexander and erik hassle while production was handled by shakira hill and hull cant remember to forget you is an uptempo track that fuses reggae rock and new wave pop lyrically the song revolves around forgetting someone who is bad even though you love the person upon its release cant remember to forget you was met with mixed reviews from critics while critics praised the ska influences they felt that the song overall was not memorable other critics noted similarities between the song and the music of the police and bruno mars
commercially the single fared well peaking at eleven in the united kingdom the song also peaked within the top ten of spain france germany and switzerland in the us the song debuted on the billboard hot 100 at twentyeight and later went on to peak at fifteen on the chart becoming shakiras highestdebuting track in the region the music video which was shot in a los angeles mansion was directed by joseph kahn and was premiered and uploaded to youtube on 30 january 2014 the accompanying video featured both shakira and rihanna in revealing outfits and a naked embrace the song was performed live for the first time on iheartradio"
amnesia,5 seconds of summer,amnesia is a song by australian rock band 5 seconds of summer taken from their selftitled debut album 5 seconds of summer 2014 the mellow pop rock slow jam was announced as a new single during a live stream by the band on 1 july 2014 and was released to american contemporary hit radio as the third single from the album on 15 july 2014
no mediocre,ti featuring iggy azalea,no mediocre is a song by american hip hop rapper ti released on june 17 2014 through grand hustle and columbia records as the lead single from his ninth studio album paperwork 2014 the song produced by dj mustard features a guest appearance from grand hustle protégé australian rapper iggy azalea
come with me now,kongos,come with me now is a song by south african band kongos initially released to itunes in december 2012 as a single from their album lunatic come with me now earned commercial success in the united states in 2014 eventually peaking at number one on the billboard alternative songs chart and becoming their first charting single in the united states
believe me,lil wayne featuring drake,believe me is a song by american rapper lil wayne released as the intended lead single from his eleventh studio album tha carter v the song features canadian rapper drake it was serviced to urban contemporary radio stations on may 6 2014 in the united states and was released as a digital download on may 28 2014
beachin,jake owen,"beachin is a song recorded by american country music artist jake owen it was released in february 2014 as the second single from his fourth studio album days of gold the song was written by jaren johnston jon nite and jimmy robbins it garnered positive reviews from critics praising the production and owens lyrical delivery
beachin reached number one on both the billboard country airplay and hot country songs charts respectively giving him his third numberone country hit in both charts it also gave him his second top 40 hit on the hot 100 peaking at number 26 the song was certified platinum by the recording industry association of america riaa and has sold 1104000 copies in that country as of august 2014 it received similar chart success in canada peaking at number one on the country chart and number 39 on the canadian hot 100
the accompanying music video for the song directed by mason dixon was filmed in daytona beach"
white walls,macklemore  ryan lewis featuring schoolboy q and hollis,white walls is a song by an american hip hop duo macklemore  ryan lewis taken from their collaborative debut studio album the heist 2012 the songs hook is performed by singer hollis while american rapper schoolboy q performs a guest verse white walls was released to american contemporary hit radio on october 8 2013 as the fifth and final single from the heist the song debuted at number 100 and has since peaked at number 15 on the us billboard hot 100 and has sold 1000000 copies as of january 2014
she looks so perfect,5 seconds of summer,she looks so perfect is a song by australian band 5 seconds of summer taken from their selftitled debut album 5 seconds of summer 2014 the song was digitally released in australia on 23 february 2014 and in europe on 23 march 2014 through capitol records and hi or hey records as their debut single with a major record label the accompanying music video was released on 24 february 2014 the song peaked at number one in australia new zealand ireland scotland and the united kingdom it was certified triple platinum by the australian recording industry association for selling 210000 copies the song also won song of the year at the aria awards in 2014 ed sheeran covered the song on capital fm
stay the night,zedd featuring hayley williams,"stay the night is a song by russiangerman electronic dance music producer zedd from the deluxe edition 2013 of his debut studio album clarity 2012 it features vocals from hayley williams the lead singer of american rock group paramore the song was written by zedd williams benjamin eli hanna and carah faye stay the night was released to digital retailers on september 10 2013 by interscope records as the lead single off the deluxe edition of clarity and the fourth overall single from the album
the song has been compared to zedds previous electro house ballad clarity with critic of music saying stay the night is primed for pop radio digital spy said the song was generic edm and idolator pointed to its edmstyle clubready dance beats dreamy synths and a popstyle vocal stay the night received critical acclaim with some critics noting the songs potential for crossover appeal to audiences of mainstream pop
the single reached the number one spot on both billboards hot dance club songs and dancemix show airplay charts in its december 7 2013 issue giving zedd his second number one at dance airplay and his third charttopper at dance club play while williams marks her first number one on a billboard chart at dancemix show airplay as a solo artist the song has sold over a million copies in the us as of march 2014"
partition,beyonce,"partition is a song recorded by american singer beyoncé for her selftitled fifth studio album released in 2013 beyoncé cowrote and coproduced the song with justin timberlake timbaland jerome jroc harmon dwane key wane weir and mike dean with extra writing from thedream and extra production from jordy boots asher the song was sent to urban contemporary on february 25 2014 as the third single from beyoncé by columbia records
the song consists of two parts individually titled yoncé and partition partition has been described as electrorb also known as pbrb that moves from a sweet girlgroup pop sound to dirty south hiphop its production musically consists of a sparse synthesized arrangement a thrusting bassline and a heavy drumbeat giving it elements of electrorb exploring the deep sexual nature of beyoncé partition depicts sexual intercourse in the back of a limousine the closing minute of the song features a french word interpolation slightly similar to a quote by actress julianne moore in the 1998 film the big lebowski
following the albums release partition picked up airplay on united states urban contemporary radio stations it has since peaked at number 23 on the us billboard hot 100 chart number nine on the us hot rbhiphop songs chart and number one on the us hot dance club songs chart
accompanying music videos for yoncé and partition were released on december 13 2013 on beyoncé the former clip was directed by ricky saiz and filmed on the streets of brooklyn new york while the latter was directed by jake nava and shot at the parisian cabaret club crazy horse both yoncé and partition were added to the setlist and performed live during the second european leg of the mrs carter show world tour 2013–14 and later during the on the run tour 2014 and the formation world tour 2016 both of the songs were performed at the 2014 mtv video music awards as part of a medley of the singers eponymous album"
studio,schoolboy q featuring bj the chicago kid,studio is a song by american hip hop recording artist schoolboy q released on april 22 2014 by top dawg entertainment and interscope records as the fourth official single from his third studio album oxymoron 2014 the song which features vocals from american singer and songwriter bj the chicago kid was recorded in 2013 and produced by american record producer swiff d
0 to 100  the catch up,drake,0 to 100  the catch up is a song recorded by canadian rapper drake it was released on july 15 2014 by ovo sound young money entertainment cash money records and republic records the song was certified platinum by the recording industry association of america riaa january 30 2015 for selling over 1000000 digital copies in the united states
i dont dance,lee brice,i dont dance is a song cowritten and recorded by american country music artist lee brice it was released on february 18 2014 as the first single and title track from brices third studio album of the same name the album was released on september 9
somethin bad,miranda lambert and carrie underwood,"somethin bad is a song recorded as a duet by american country music artists miranda lambert and carrie underwood the song was written by chris destefano brett james and priscilla renea it was released as the second single from lamberts fifth studio album platinum in advance of the albums release two weeks later the song premiered at the 2014 billboard music awards on may 18 2014 and was released for sale the next day
somethin bad peaked at number one on the billboard hot country songs becoming underwoods thirteenth number one on the chart and lamberts fifth the song is the first number one by teamedup solo women in more than two decades on this chart
on december 5 2014 the collaboration received a grammy nomination for best country duogroup performance"
adore you,miley cyrus,"adore you is a song recorded by american recording artist miley cyrus it is the opening track of her fourth studio album bangerz 2013 and was released as its third and final single on december 17 2013 by rca records the song was written and produced by oren yoel with additional songwriting provided by stacy barthe adore you is a pop and rb ballad in which cyrus discusses her affection towards her boyfriend
upon its release adore you received generally favorable reviews from music critics who complimented its overall production and cyrus vocal delivery it was further recognized as being among the more conservative offerings from the record prior to being officially released as a single the track debuted at number 42 on the billboard hot 100 it peaked at number 21 the track performed moderately on national record charts throughout europe and oceania with a gold certification in australia by comparison with cyrus previous singles we cant stop and wrecking ball the original version of adore you underperformed on several national record charts the song has sold one million copies to date in the us the music video for adore you was officially premiered through vevo on december 26 2013 it depicts cyrus suggestively posing in a bed and a bathtub and is interspersed with night vision footage that resembles a celebrity sex tape"
uptown funk,mark ronson featuring bruno mars,"uptown funk stylised as uptown funk is a song recorded by british record producer mark ronson and american singer and songwriter bruno mars for ronsons fourth studio album uptown special 2015 rca records released the song as the albums lead single on 10 november 2014 jeff bhasker assisted the artists in cowriting and coproducing the track with additional writing from philip lawrence the song became a worldwide phenomenon with its major impact on pop culture
the song went through many different incarnations and was worked on for months ronson and mars recorded it at multiple different locations worldwide ranging from recording studios to dressing rooms american bands sharon jones  the dapkings and antibalas perform horn parts on the song while the songs lyrics interpolate a line from rapper trinidad james song all gold everything 2012 several music critics noted its similarity with popular music from the 1980s the song features heavy inspiration from the minneapolis sound of 1980sera funk music having a spirit akin to works by prince as well as morris day and the time copyright controversies arose after the songs release with multiple lawsuits and amendments to its songwriting credits
uptown funk spent 14 consecutive weeks at number one on the billboard hot 100 in the us seven nonconsecutive weeks at number one on the uk singles chart and topped the charts in several other countries including australia canada france ireland and new zealand it became the second bestselling single of 2015 and one of the bestselling of alltime the song won two grammy awards including record of the year and the brit award for british single of the year its music video stars ronson mars and mars backing band the hooligans dancing in a city street and accumulated 30 billion views on video sharing website youtube as of may 2018 making it the sixth most viewed youtube video of all time"
thinking out loud,ed sheeran,"thinking out loud is a song by english singersongwriter ed sheeran recorded for his second studio album × 2014 it was written by sheeran and amy wadge and produced by frequent collaborator jake gosling it was released in the us on 24 september 2014 as the albums third single
in the uk the song spent 19 weeks within the top 40 before peaking at number 1 in early november 2014 it became sheerans second number 1 single there the single has also reached the top spot in australia ireland new zealand denmark the netherlands slovakia and south africa and peaked at number 2 on both the us billboard hot 100 and the canadian hot 100 it was sheerans highestcharting single in north america until shape of you topped the charts in both countries in 2017
in june 2015 thinking out loud became the first single to spend a full year in the uk top 40 in september 2015 it also became the seventh single to have achieved triple platinum in the uk during the 21st century in october 2015 the song became the first to be streamed over 500 million times on spotify is also one of the most streamed songs in the uk and has been viewed more than 22 billion times on youtube as of april 2018
thinking out loud received nominations for grammy award for record of the year song of the year and best pop solo performance at the 58th grammy awards winning the latter two
on 10 august 2016 it was announced that sheeran was getting sued by the family of ed townsend for copyright infringement who claim that thinking out loud plagiarises elements of marvin gayes lets get it on the claim was voluntarily withdrawn with the court later saying there was no grounds or evidence of plagiarism even if the claim should have been submitted further in the courts"
see you again,wiz khalifa featuring charlie puth,"see you again is a song recorded by american rapper wiz khalifa featuring american singer charlie puth the track was commissioned for the soundtrack of the 2015 action film furious 7 as a tribute to the late actor paul walker who died in a singlevehicle accident on november 30 2013 in valencia california later on the song was included as a bonus track on the international release of puths debut album nine track mind the artists cowrote the song with its coproducers dj frank e and andrew cedar with additional production from puth and mixing provided by manny marroquin see you again was released on march 10 2015 as the soundtracks lead single in the united states
see you again became both khalifas and puths biggest single to date it spent 12 nonconsecutive weeks atop the us billboard hot 100 tying eminems lose yourself for the longestrunning rap numberone single in the country and topped the uk singles chart for two consecutive weeks it also reached number one in several other countries including australia austria canada germany ireland new zealand and switzerland the song held the record for the moststreamed track in a single day on spotify in the united states until it was surpassed by drag me down it set the record for most streams in a single week worldwide and in the united kingdom also in a single week
the music video was the most viewed video on youtube from july 10 to august 4 2017 see you again received three nominations at the 58th annual grammy awards song of the year best pop duogroup performance and best song written for visual media it was also shortlisted for the song of the year for the bbc music awards and was nominated for best original song at the 73rd golden globe awards see you again was the best sellingsong of 2015 worldwide with combined sales and trackequivalent streams of 209 million units according to ifpi"
trap queen,fetty wap,"trap queen is the debut single by american rapper fetty wap from his selftitled debut album 2015 following its online premiere in march 2014 it was released independently on april 22 2014 before being rereleased in conjunction with 300 entertainment on december 15 2014 the song was well received by critics who praised the vocals and production for being cheery and infectious
in 2015 trap queen became fetty waps first entry on the billboard hot 100 and was a sleeper hit which ultimately went on to be a top ten hit peaking at number two the song spent 25 consecutive weeks in the top ten outside the united states trap queen peaked within the top ten of the charts in denmark and the united kingdom an accompanying music video for the song directed by nitt da gritt was released on his youtube page that features wap and his girlfriend partying at their apartment he first performed the song on television at the 2015 mtv movie awards with fall out boy and would make later appearances at the tonight show with jimmy fallon jimmy kimmel live nick cannon presents wild n out and the bet awards 2015 to perform the song the song received two nominations at the 58th grammy awards best rap song and best rap performance"
sugar,maroon 5,"sugar is a song recorded by american pop rock band maroon 5 for their fifth studio album v 2014 it was written by mike posner adam levine dr luke and jacob kasher hindlin together with its producers ammo and cirkut it was sent to contemporary hit radio in the united states as the third single from the album on january 13 2015 sugar is a disco funkpop and soul song that features a wide range of instruments including percussion keyboards and guitars commercially sugar peaked at number two on the us billboard hot 100 and became the bands third top 10 single from v and eighth consecutive top 10 entry sugar is the 68th song in history to score at least 20 weeks in the top 10 of the hot 100
film director david dobkin shot the accompanying music video for the single in los angeles inspired by the 2005 romantic comedy wedding crashers it features maroon 5 crashing weddings that happened in the city the video premiered on january 14 2015 and received its television premiere on january 17 the song is also used as the encore of the shows during the maroon 5 tour a remix of the song featuring rapper nicki minaj was digitally released on march 10 via the itunes store it also featured in a 2015 nissan gtr commercial
sugar received a nomination for the grammy award for best pop duogroup performance at the 58th annual grammy awards"
shut up and dance,walk the moon,"shut up and dance stylized as shut up  dance is a song by american rock band walk the moon for their second studio album talking is hard 2014 it was written by the band members and songwriters ben berger and ryan mcmahon the song is based on an experience frontman nicholas petricca had at a los angeles nightclub his girlfriend invited him to dance inspiring the title petricca envisioned the song as an anthem for letting go of frustration and having fun the song was digitally released as the lead single from talking is hard on september 10 2014
the song became the bands biggest hit single to date peaking at number four on the billboard hot 100 and becoming a numberone hit on the magazines alternative songs chart and the hot adult contemporary chart outside the united states the song topped the charts in poland peaked within the top ten of the charts in australia canada germany israel the republic of ireland and the united kingdom the top twenty of the charts in new zealand and sweden and the top thirty of the charts in the netherlands the band has performed shut up and dance on the tonight show starring jimmy fallon late night with seth meyers jimmy kimmel live the ellen degeneres show and good morning america"
blank space,taylor swift,"blank space is a song recorded by american singersongwriter taylor swift for her fifth studio album 1989 2014 it was written by swift max martin and shellback the song was released to the radio by republic records on november 10 2014 as the albums second single after shake it off and is the second track on the album it is an electropop song with lyrics that satirize the medias perception of swift and her relationships
within three weeks blank space reached number one on the us billboard hot 100 following shake it off swift became the first woman in the hot 100s 56year history to succeed herself at the top spot a critical success it has also been included in numerous yearend critics lists the song has also topped charts in canada south africa and australia it also charted in the top 10 in numerous countries such as austria czech republic germany new zealand spain and the united kingdom
the songs accompanying music video was directed by joseph kahn and was shot over three days at oheka castle in huntington new york the song received its first televised performance at the 2014 american music awards and as part of taylor swifts 1989 secret session with iheartradio on october 27 2014 in new york city
the song received nominations for the 58th grammy awards for record of the year song of the year and best pop solo performance
following the songs debut at the 2014 american music awards a remix was uploaded to soundcloud on december 15 2014 by the host of the event pitbull but has since been removed"
watch me,silento,watch me whipnae nae is the debut single by the american rapper silentó in march 2015 he was signed to capitol records which released the track as a single with an accompanying music video the song peaked at 3 on the billboard hot 100 where it has spent 6 nonconsecutive weeks with a viral clip on youtube the song was popular for its dance despite mixed reviews a combination of 2 popular moves cited in the title the whip dance and the nae nae as well as other hip hop dances from various songs crank that soulja boy and stanky legg
earned it,the weeknd,"earned it alternatively titled earned it fifty shades of grey is a song by canadian singer the weeknd the song was released as the lead single from the soundtrack to the 2015 film fifty shades of grey and was included on the weeknds second studio album beauty behind the madness
earned it peaked at number three on the billboard hot 100 becoming the weeknds first top five single the songs popularity made fifty shades of grey the latest soundtrack to generate concurrent topten singles with ellie gouldings love me like you do which also peaked at number three its music video was directed by the films director sam taylorjohnson features the films lead actress dakota johnson and it features clips of the film and the same bdsm theme the song was nominated for best original song at the 88th academy awards and won the grammy award for best rb performance at the 58th annual grammy awards"
